EET,9/8/2024,9/7/2024,9/6/2024,9/5/2024,9/4/2024,9/3/2024,9/2/2024,,,,,,,,,,,,,,
01:00 - 02:00,"93,54","104,70","87,07","101,27","109,41","108,97","98,82",,,,,,,,,,,,,,
02:00 - 03:00,"85,25","96,27","87,09","94,60","100,63","105,51","96,57",,,,,,,,,,,,,,
03:00 - 04:00,"80,96","93,38","87,06","90,00","102,50","97,33","93,21",,,,,,,,,,,,,,
04:00 - 05:00,"76,71","91,11","87,09","87,11","98,79","96,50","93,16",,,,,,,,,,,,,,
05:00 - 06:00,"79,94","93,14","92,71","90,76","100,51","97,92","93,79",,,,,,,,,,,,,,
06:00 - 07:00,"75,75","96,42","102,85","99,00","109,00","109,00","104,85",,,,,,,,,,,,,,
07:00 - 08:00,"80,18","101,37","126,00","123,00","143,00","133,97","128,98",,,,,,,,,,,,,,
08:00 - 09:00,"81,10","101,52","135,74","124,99","176,69","150,69","134,95",,,,,,,,,,,,,,
09:00 - 10:00,"70,38","94,85","126,95","119,04","152,57","133,95","131,94",,,,,,,,,,,,,,
10:00 - 11:00,"38,11","84,23","107,08","97,68","124,94","115,98","122,64",,,,,,,,,,,,,,
11:00 - 12:00,"8,29","51,52","84,96","92,09","107,21","98,88","102,83",,,,,,,,,,,,,,
12:00 - 13:00,"0,44","16,03","84,02","91,08","105,09","90,02","92,34",,,,,,,,,,,,,,
13:00 - 14:00,"0,04","5,48","84,10","91,05","98,51","87,02","90,07",,,,,,,,,,,,,,
14:00 - 15:00,"0,01","1,02","87,09","94,94","94,06","87,04","92,28",,,,,,,,,,,,,,
15:00 - 16:00,"0,81","0,44","102,23","118,99","94,09","90,09","96,32",,,,,,,,,,,,,,
16:00 - 17:00,"9,14","18,85","111,26","121,87","97,93","96,44","102,25",,,,,,,,,,,,,,
17:00 - 18:00,"62,52","81,08","119,52","128,12","133,93","130,90","123,93",,,,,,,,,,,,,,
18:00 - 19:00,"111,49","94,31","130,00","143,50","156,74","160,00","126,94",,,,,,,,,,,,,,
19:00 - 20:00,"121,47","121,92","149,25","162,42","161,31","260,96","131,93",,,,,,,,,,,,,,
20:00 - 21:00,"127,92","126,90","152,43","194,22","136,93","555,73","133,97",,,,,,,,,,,,,,
21:00 - 22:00,"128,56","113,64","125,00","127,98","176,81","448,24","185,00",,,,,,,,,,,,,,
22:00 - 23:00,"114,88","93,80","121,90","122,97","129,97","202,08","126,97",,,,,,,,,,,,,,
23:00 - 00:00,"104,51","98,98","115,49","99,55","125,09","135,00","123,92",,,,,,,,,,,,,,
00:00 - 01:00,"95,84","90,60","94,09","90,01","110,01","121,52","120,05",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
